,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joel Keaton disapproved of films and Buster also had reservations about the medium.,0.15384615384615385,18.432451725006104
1,She'll be all right.,She'll be alright.,0.5,17.221551179885864
2,six,Six.,1.0,16.970359325408936
3,All's well that ends well.,All is well that ends well.,0.4,17.1546528339386
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,18.03208303451538
5,We are going to the football game tonight.,We are going to the football game tonight.,0.0,17.309258460998535
6,Elizabeth was about the same age as Maria.,Elizabeth was about the same age as Maria,0.125,17.33074450492859
7,Do you mean it?,Do you mean it?,0.0,17.05885910987854
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle ambiguities like queue and queue?,0.09090909090909091,17.659462690353394
9,You are so rude!,You are so rude.,0.25,17.056169509887695
10,I guess you must think I'm kinda batty.,Wish you the same kind of a lucky day.,1.125,17.29354476928711
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,17.522998571395874
12,Groves started writing songs when she was four years old.,Graves started writing songs when she was 4 years old.,0.2,17.694824695587158
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,17.38322687149048
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,17.47859764099121
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,18.43881344795227
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,17.42249035835266
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,17.655027627944946
18,It might be in this writer's Top Ten!,it might be in this writers top 10,0.5,17.23849654197693
19,We spoke often.,We spoke often.,0.0,16.882309913635254
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,17.463226079940796
21,The electrician looked puzzled.,the adaptation loop puzzle,1.0,17.413939952850342
22,The ladder on the fire truck was not long enough.,The ladder on the fire truck was not long enough.,0.0,17.5676212310791
23,I will tell her what we decided.,[inaudible],1.0,17.155622243881226
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, good morning.",1.0,17.666553735733032
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,17.414191484451294
26,Good things come in small packages.,Good things come in small packages.,0.0,17.27525305747986
27,It is a member theater of the Union of the Theatres of Europe.,It is a member theatre of the Union of the Theatres of Europe.,0.07692307692307693,17.81020998954773
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,18.370782136917114
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,17.124215841293335
30,The immersion in hot water also kills the silkworm pupa.,"The immersion in hot water also kills the sick worm, Hupa.",0.3,17.46821093559265
31,"She married her business partner, Steve Lane.",She married her business partner Stephen Lee.,0.42857142857142855,17.232613801956177
32,Who has already arrived?,Who has already arrived?,0.0,16.98060178756714
33,The attack on our root server overstrained our senior administrator.,the attack on your road server overstrained our senior administrator,0.4,18.569440126419067
34,Do you want me?,Do you want me?,0.0,17.002508878707886
35,That would be funny if he did.,That would be funny if he did.,0.0,17.290366888046265
36,"Although she had flowers and applause, Mavis said she was not content.",Although she had flowers and applause may be said she was not content.,0.25,17.53856873512268
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,17.948866605758667
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,17.663744926452637
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,17.04314947128296
40,"Hello, Benjamin.","Hello, Benjamin.",0.0,16.91552710533142
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis and virtual reality, he felt dizzy.",0.1111111111111111,17.58352780342102
42,A mansion was usually set on a one square.,A mention was usually sit on A1 square.,0.4444444444444444,17.513035774230957
43,Have you the key?,have you the key.,0.5,17.006606101989746
44,Rapidan Campaign May–June.,campaign made to,1.0,17.254260540008545
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Al Stone commented that he felt the cartoonist might have had some racial intent.,0.3076923076923077,18.035815715789795
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,17.250969409942627
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in red t-shirt and baseball cap viewed from above he has a pile of postures.,0.17647058823529413,18.4314866065979
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,17.716520071029663
49,‘What did he say his name was?’ asked the captain.,"""What did he say his name was?"" asked the captain.",0.2,17.89245629310608
50,"At the hospital, I met a very nice nurse.","At the hospital, I met a very nice nurse.",0.0,17.260124921798706
51,yes,yes,0.0,16.714498043060303
