,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,0.8526301383972168
1,She'll be all right.,She'd be alright.,0.75,0.7787067890167236
2,six,Six.,1.0,0.7296617031097412
3,All's well that ends well.,"All is well, that ends well.",0.6,0.7838051319122314
4,It is a busy market town that serves a large surrounding area.,"It is a busy market town that serves a large, surrounded area.",0.16666666666666666,0.8473384380340576
5,We are going to the football game tonight.,They're going to the football game tonight.,0.25,0.7910678386688232
6,Elizabeth was about the same age as Maria.,It's a bit more support DC major smurrier.,1.0,0.9920721054077148
7,Do you mean it?,Do you read it?,0.25,0.7687962055206299
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozula going to bamboo and be with these like cube and cube?,0.7272727272727273,0.87762451171875
9,You are so rude!,You are so rude.,0.25,0.7663068771362305
10,I guess you must think I'm kinda batty.,,1.0,0.8546464443206787
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,0.8130125999450684
12,Groves started writing songs when she was four years old.,Graves distorted writing songs when she was four years old.,0.2,0.8405187129974365
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,0.8462474346160889
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,0.8530187606811523
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent precedents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.11764705882352941,0.9362747669219971
16,There was nothing to hold him back except himself.,"There was nothing to hold the hand back, except himself.",0.3333333333333333,0.80806565284729
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,0.8355872631072998
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,0.8475933074951172
19,We spoke often.,We spoke our phone.,0.6666666666666666,0.7537193298339844
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,0.7918307781219482
21,The electrician looked puzzled.,in the nutrition group further.,1.25,0.8816890716552734
22,The ladder on the fire truck was not long enough.,The light on the fire truck was not long enough.,0.1,0.8097963333129883
23,I will tell her what we decided.,I will tell now what we decided.,0.14285714285714285,0.7961328029632568
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, this one is my long story and long story and long story and long story and long story and long story",1.6923076923076923,1.8610920906066895
25,"I guess, it's a never-ending story.",I guess it's a never ending story.,0.5,0.8022301197052002
26,Good things come in small packages.,Good things coming small packages.,0.3333333333333333,0.7782008647918701
27,It is a member theater of the Union of the Theatres of Europe.,It is a member theater of the union of the theaters of Europe.,0.15384615384615385,0.8642721176147461
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,0.8991751670837402
29,YOU WANNA TAKE THIS OUTSIDE?,You want to take this outside?,1.2,0.7668106555938721
30,The immersion in hot water also kills the silkworm pupa.,"The immersion in hot water also kills a sick form, full buff.",0.5,0.8379788398742676
31,"She married her business partner, Steve Lane.",She married her business partner Stephen Lee.,0.42857142857142855,0.7857670783996582
32,Who has already arrived?,Who has already arrived?,0.0,0.7858266830444336
33,The attack on our root server overstrained our senior administrator.,That it take on your road travel over the strain of our senior administrator.,1.0,0.8673951625823975
34,Do you want me?,Would you watch me?,0.5,0.7598791122436523
35,That would be funny if he did.,That would be funny if he did.,0.0,0.80877685546875
36,"Although she had flowers and applause, Mavis said she was not content.","Although C headflowers and applause, maybe said C was not content.",0.4166666666666667,0.8437767028808594
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,0.8667271137237549
38,Madin was a significant figure of post-war Birmingham architecture.,Imagine was a significant figure of post-war Birmingham architecture.,0.1111111111111111,0.8286728858947754
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,0.7867391109466553
40,"Hello, Benjamin.",Hello Benjamin.,0.5,0.7440235614776611
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis and virtual reality, he felt dizzy.",0.1111111111111111,0.8197097778320312
42,A mansion was usually set on a one square.,"Eventually, it was usually shit on a 1 square.",0.4444444444444444,0.8097541332244873
43,Have you the key?,Have you the key?,0.0,0.7500731945037842
44,Rapidan Campaign May–June.,"Give them a campaign, may it tune.",2.3333333333333335,0.779130220413208
