,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.", Joel Keaton disapproved of films and Buster also had reservations about the medium.,0.15384615384615385,12.657335758209229
1,She'll be all right., She'll be alright.,0.5,10.442364692687988
2,six, 6,1.0,9.627503633499146
3,All's well that ends well., All is well that ends well.,0.4,10.883211612701416
4,It is a busy market town that serves a large surrounding area., It is a busy market town that serves a large surrounded area.,0.08333333333333333,12.144026279449463
5,We are going to the football game tonight., We are going to the football game tonight.,0.0,11.236990690231323
6,Elizabeth was about the same age as Maria., Elizabeth was about the same age as Maria,0.125,11.014002084732056
7,Do you mean it?, Do you mean it?,0.0,10.349679946899414
8,How is Mozilla going to handle ambiguities like queue and cue?, How is Mozilla going to handle ambiguities like queue and queue?,0.09090909090909091,12.396933317184448
9,You are so rude!, You are so rude.,0.25,10.47072458267212
10,I guess you must think I'm kinda batty., I wish you the same kind of a lucky day.,1.0,11.673458576202393
11,No one near the remote machine you could ring?, No one near the remote machine you could ring.,0.1111111111111111,11.408783435821533
12,Groves started writing songs when she was four years old., Graff started writing songs when she was 4 years old.,0.2,11.806518077850342
13,This led to both the Red Terror and the White Terror., This led to both the red tear and the white tear.,0.36363636363636365,11.99134349822998
14,The Sacramento Valley Rail Station is just a short walk away., The Sacramento Valley Rail Station is just a short walk away.,0.0,11.969708681106567
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush."," The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,13.510337114334106
16,There was nothing to hold him back except himself., There was nothing to hold him back except himself.,0.0,11.406271934509277
17,These locomotives are serviced at Washwood Heath., These locomotives are serviced at Washwood Heath.,0.0,11.810161590576172
18,It might be in this writer's Top Ten!, it might be in this writers top 10,0.5,11.202547073364258
19,We spoke often., We spoke often.,0.0,10.285662174224854
20,Mrs. Lewis was selected as the new commissioner., Mrs. Lewis was selected as the new commissioner.,0.0,11.445312023162842
21,The electrician looked puzzled., Do Democrats moleup puzzle,1.0,64.09440755844116
