,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.", Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,149.00930380821228
1,She'll be all right., She'd be alright.,0.75,147.057635307312
2,six, Six.,1.0,146.57668542861938
3,All's well that ends well., All is well that ends well.,0.4,147.44141221046448
4,It is a busy market town that serves a large surrounding area., It is a busy market town that serves a large surrounded area.,0.08333333333333333,148.48926186561584
5,We are going to the football game tonight., We are going to the football game tonight.,0.0,147.78197979927063
6,Elizabeth was about the same age as Maria., Elizabeth was about the same age as Maria,0.125,146.44196033477783
7,Do you mean it?, Do you mean it?,0.0,145.40048789978027
8,How is Mozilla going to handle ambiguities like queue and cue?, How is Mozilla going to handle and be with this? Like Q and Q.,0.6363636363636364,149.15217566490173
9,You are so rude!, You are so rude.,0.25,146.8999059200287
10,I guess you must think I'm kinda batty., I wish you the same kind of a good luck job.,1.125,148.05562114715576
11,No one near the remote machine you could ring?, No one near the remote machine you could ring.,0.1111111111111111,147.7951362133026
12,Groves started writing songs when she was four years old., Graff started writing songs when she was 4 years old.,0.2,146.66480445861816
13,This led to both the Red Terror and the White Terror., This led to both the red tear and the white tear.,0.36363636363636365,147.9181456565857
14,The Sacramento Valley Rail Station is just a short walk away., The Sacramento Valley Rail Station is just a short walk away.,0.0,146.86397886276245
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush."," The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,147.70429039001465
16,There was nothing to hold him back except himself., There was nothing to hold him back except himself.,0.0,146.3485803604126
17,These locomotives are serviced at Washwood Heath., These locomotives are serviced at wash wood heath.,0.42857142857142855,148.32003927230835
18,It might be in this writer's Top Ten!, It might be in this writer's top 10.,0.25,147.71780252456665
19,We spoke often., We spoke often.,0.0,146.79387187957764
20,Mrs. Lewis was selected as the new commissioner., Mrs. Lewis was selected as the new Commissioner.,0.125,147.81126713752747
21,The electrician looked puzzled., hear that this type,1.0,876.9027230739594
22,The ladder on the fire truck was not long enough., pit ladder on the fire truck was not long enough,0.2,147.40161228179932
23,I will tell her what we decided., I will tell her what we decided.,0.0,146.9547200202942
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.," Hello, good morning. A lot of parents belong to a class of kids. No one else can be a good upper-aged child.",1.4615384615384615,151.6307303905487
25,"I guess, it's a never-ending story.", I guess it's a never ending story.,0.5,146.29643988609314
26,Good things come in small packages., Good things come in small packages.,0.0,147.0079629421234
27,It is a member theater of the Union of the Theatres of Europe., It is a member theater of the Union of the theaters of Europe.,0.07692307692307693,148.16366839408875
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes."," I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,149.2438747882843
29,YOU WANNA TAKE THIS OUTSIDE?, You wanna take this outside.,1.0,145.6415147781372
30,The immersion in hot water also kills the silkworm pupa.," The immersion in hot water also kills the sick worm, Kumba.",0.3,147.2210350036621
31,"She married her business partner, Steve Lane."," She married her business partner, Steven Lee.",0.2857142857142857,147.38531470298767
32,Who has already arrived?, Who has already arrived?,0.0,146.59941220283508
33,The attack on our root server overstrained our senior administrator., that it take on your road server over strain our senior administrator,0.8,296.38809084892273
34,Do you want me?, Do you want me?,0.0,145.86011219024658
35,That would be funny if he did., That would be funny if he did.,0.0,147.51336216926575
36,"Although she had flowers and applause, Mavis said she was not content."," Although she had flowers and applause, maybe said she was not content.",0.08333333333333333,148.75483345985413
37,"When the user's identity has been accepted by the server, you will be notified."," When the user's identity has been accepted by the server, you will be notified.",0.0,149.20490717887878
38,Madin was a significant figure of post-war Birmingham architecture., Madsen was a significant figure of post-war Birmingham architecture.,0.1111111111111111,148.65891218185425
39,Add the column and put the sum here., Add the column and put the sum here.,0.0,147.79820847511292
40,"Hello, Benjamin.", Hello Benjamin.,0.5,146.15435552597046
41,"After playing tennis in virtual reality, he felt dizzy."," After playing tennis in virtual reality, he felt dizzy.",0.0,146.56085538864136
