,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the media.,0.15384615384615385,4.322980880737305
1,She'll be all right.,Should be alright.,0.75,2.4510602951049805
2,six,Six.,1.0,2.4286317825317383
3,All's well that ends well.,"All is well, that ends well.",0.6,2.563317060470581
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,2.745311737060547
5,We are going to the football game tonight.,They're going to the football game tonight.,0.25,2.5380311012268066
6,Elizabeth was about the same age as Maria.,It's about the same age as Maria.,0.25,2.933703899383545
7,Do you mean it?,Do you mean it?,0.0,2.5138373374938965
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle and be with this like cube and cube?,0.5454545454545454,2.760373115539551
9,You are so rude!,You are so rude.,0.25,2.4593505859375
10,I guess you must think I'm kinda batty.,Questions in hand and up to you.,1.0,2.5420615673065186
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,2.593313217163086
12,Groves started writing songs when she was four years old.,Graphs started writing songs when she was 4 years old.,0.2,2.6271777153015137
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,2.6066699028015137
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,2.629225254058838
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama and George W. Bush.",0.058823529411764705,2.8680508136749268
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,2.6569526195526123
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,2.603715181350708
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,2.573525905609131
19,We spoke often.,We spoke of them.,0.6666666666666666,2.4501945972442627
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,2.573931932449341
21,The electrician looked puzzled.,We will do the creation look for the looks.,2.25,2.584521532058716
22,The ladder on the fire truck was not long enough.,A letter on the fire truck was not long enough.,0.2,2.614927291870117
23,I will tell her what we decided.,I will tell her what we decided.,0.0,2.589348554611206
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, this one along the way and it belongs to the class, so let's go and have a good happen.",1.3076923076923077,2.8962080478668213
