,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,1.812673807144165
1,She'll be all right.,She'd be all right.,0.25,1.3419079780578613
2,six,Six.,1.0,1.3008372783660889
3,All's well that ends well.,"All is well, that ends well.",0.6,1.3888680934906006
4,It is a busy market town that serves a large surrounding area.,"It is a busy market town that serves a large, surrounded area.",0.16666666666666666,1.466050148010254
5,We are going to the football game tonight.,They're going to the football game tonight.,0.25,1.4670991897583008
6,Elizabeth was about the same age as Maria.,It is about lost ability CMHS Maria.,0.75,1.6319293975830078
7,Do you mean it?,Do you read it?,0.25,1.3438074588775635
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle and be with this like Q and Q?,0.5454545454545454,1.5079865455627441
9,You are so rude!,You are so rude.,0.25,1.3436088562011719
10,I guess you must think I'm kinda batty.,,1.0,1.553023099899292
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,1.4422869682312012
12,Groves started writing songs when she was four years old.,Graves distorted writing songs when she was four years old.,0.2,1.456860065460205
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,1.44523024559021
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,1.4598166942596436
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama and George Trump.",0.17647058823529413,1.59122896194458
16,There was nothing to hold him back except himself.,"There was nothing to hold the hand back, set himself.",0.4444444444444444,1.497321605682373
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,1.4483039379119873
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,1.4209258556365967
19,We spoke often.,We spoke of them.,0.6666666666666666,1.3407983779907227
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,1.4255750179290771
21,The electrician looked puzzled.,in the nutrition group for the,1.5,1.4760587215423584
22,The ladder on the fire truck was not long enough.,It later on the fire truck was not long enough.,0.2,1.439065933227539
23,I will tell her what we decided.,I will tell not what we decided.,0.14285714285714285,1.3947606086730957
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,I love this one. I love to spend a long time with the place where I have a good opportunity.,1.4615384615384615,3.526374578475952
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,1.4091148376464844
26,Good things come in small packages.,Good things coming small packages.,0.3333333333333333,1.3611931800842285
27,It is a member theater of the Union of the Theatres of Europe.,It is a member theater of the union of the theaters of Europe.,0.15384615384615385,1.4625978469848633
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,1.5834074020385742
29,YOU WANNA TAKE THIS OUTSIDE?,You want to take this outside?,1.2,1.3779466152191162
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills the 6th one.,0.2,1.4389464855194092
31,"She married her business partner, Steve Lane.",She married her business partner Stephen Lee.,0.42857142857142855,1.3856465816497803
32,Who has already arrived?,Who has already arrived?,0.0,1.3660926818847656
33,The attack on our root server overstrained our senior administrator.,"that it takes on your road server of our strength, our senior and minis theater.",1.1,1.7777941226959229
34,Do you want me?,Would you watch me?,0.5,1.3435609340667725
35,That would be funny if he did.,That would be funny if he did.,0.0,1.3813648223876953
36,"Although she had flowers and applause, Mavis said she was not content.","Although C had flowers and applause, maybe said C was not content.",0.25,1.5099854469299316
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,1.5211207866668701
38,Madin was a significant figure of post-war Birmingham architecture.,Imagine was a significant figure of post-war Birmingham architecture.,0.1111111111111111,1.4657073020935059
