,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joel Keaton disapproved of films and Buster also had reservations about the medium.,0.15384615384615385,34.35132145881653
1,She'll be all right.,She'll be alright.,0.5,35.82173752784729
2,six,Six.,1.0,32.72595834732056
3,All's well that ends well.,All is well that ends well.,0.4,33.17133641242981
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,33.9842803478241
5,We are going to the football game tonight.,We are going to the football game tonight.,0.0,33.063958168029785
6,Elizabeth was about the same age as Maria.,Elizabeth was about the same age as Maria,0.125,33.242443323135376
7,Do you mean it?,Do you mean it?,0.0,32.86574745178223
8,How is Mozilla going to handle ambiguities like queue and cue?,How is Mozilla going to handle ambiguities like queue and queue?,0.09090909090909091,34.11483454704285
9,You are so rude!,You are so rude.,0.25,33.393885374069214
10,I guess you must think I'm kinda batty.,Wish you the same kind of a lucky one.,1.125,33.64445972442627
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,33.86028242111206
12,Groves started writing songs when she was four years old.,Graves started writing songs when she was 4 years old.,0.2,33.64103174209595
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,34.09166765213013
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,33.97140669822693
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,35.24545907974243
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,33.70073080062866
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,34.152090311050415
18,It might be in this writer's Top Ten!,it might be in this writers top 10,0.5,33.63945555686951
19,We spoke often.,We spoke often.,0.0,33.044740200042725
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,33.794217348098755
21,The electrician looked puzzled.,I'll do the adaptation loop puzzle,1.5,33.842283487319946
22,The ladder on the fire truck was not long enough.,The ladder on the fire truck was not long enough.,0.0,33.8962562084198
23,I will tell her what we decided.,[inaudible],1.0,33.619362354278564
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, good morning. A lot belongs to the classical books.",1.0,44.95089912414551
25,"I guess, it's a never-ending story.",I guess it's a never-ending story.,0.16666666666666666,33.627450466156006
26,Good things come in small packages.,Good things come in small packages.,0.0,33.3673369884491
27,It is a member theater of the Union of the Theatres of Europe.,It is a member theater of the Union of the Theatres of Europe.,0.0,34.55378198623657
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,35.23506283760071
29,YOU WANNA TAKE THIS OUTSIDE?,You want to take this outside.,1.2,33.418612480163574
30,The immersion in hot water also kills the silkworm pupa.,"The immersion in hot water also kills the sick worm, Hupa.",0.3,34.30667591094971
31,"She married her business partner, Steve Lane.",She married her business partner Steven Li.,0.42857142857142855,33.71740746498108
32,Who has already arrived?,Who has already arrived?,0.0,33.22680473327637
33,The attack on our root server overstrained our senior administrator.,the attack on your road server overstrained our senior administrator,0.4,35.935301780700684
34,Do you want me?,Do you want me?,0.0,33.21404051780701
35,That would be funny if he did.,That would be funny if he did.,0.0,33.438276052474976
36,"Although she had flowers and applause, Mavis said she was not content.",Although she had flowers and applause may be said she was not content.,0.25,34.37303042411804
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,34.57617545127869
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,34.028099060058594
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,33.80015277862549
40,"Hello, Benjamin.","Hello, Benjamin.",0.0,33.04516243934631
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis in virtual reality, he felt dizzy.",0.0,34.05254101753235
42,A mansion was usually set on a one square.,A mention was usually sit on A1 square.,0.4444444444444444,33.732041358947754
43,Have you the key?,Have you the key?,0.0,33.24903392791748
44,Rapidan Campaign May–June.,campaign made to,1.0,33.49254035949707
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Al Stone commented that he felt the cartoonist might have had some racial intent.,0.3076923076923077,34.516825437545776
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,34.047882318496704
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in red t-shirt and baseball cap viewed from above he has a pile of postures.,0.17647058823529413,35.09055423736572
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,34.33564805984497
49,‘What did he say his name was?’ asked the captain.,"""What did he say his name was?"" asked the captain.",0.2,34.29061436653137
50,"At the hospital, I met a very nice nurse.","At the hospital, I met a very nice nurse.",0.0,33.89180016517639
51,yes,yes,0.0,32.61320638656616
52,He received his Ph.,He received his pH dot.,0.5,33.46573996543884
53,"Since their inception, Harris has been the band's principal composer and lyricist.","""I will not be able to speak to you, but I will be able to speak to you.""",1.5,36.5856032371521
54,"After experiencing a mind-blowing sensual orgy, Mike was sure he had taken an overdose.","After experiencing a mind-blowing sensual orgy, Mike was sure he had taken a lower dose.",0.21428571428571427,35.58427333831787
55,Religious festivals include the Muslim Eids and the Christian Christmas and Easter.,Religious festivals include the Muslim Eid and the Christian Christmas and Easter.,0.08333333333333333,34.32950949668884
